PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
"Chicago Diversified Projects, Inc.",Don Gors,6015,,N,Ridge,Ave,40,Edgewater,Clark/Ridge,07/29/2015,10/12/2016,Commercial,"demolish existing damaged portion of shop area roof, decking, insulation, and drywall; replace four (4) damaged joists and replace roof, decking, insulation, and drywall; remove and replace existing face brick and coping at southeast of building; demolish existing storefront system and replace with a new storefront system (frames, door, glass); repairs to soffit and fascia at front of building and to damaged section of garage at opening; install new exterior light affixed to building; HVAC system improvements (demolish existing HVAC items; furnish and install one (1) new furnace and one (1) new condenser; furnish and install steam humidifier; thermostats, cooling coils, and filters); demolish existing hot water heater; furnish and install one (1) new 40 gallon water heater and associated venting and roofing work; remove existing employee bathroom sink, light fixtures, tile, drywall, and counter; plumbing to install three (3) new ball stop valves, new hand sink, and new shower mixer; install new insulation in bathroom walls and ceilings; install cement board and moisture-resistant drywall; install new ceramic and porcelain tile at walls and floors; install two (2) new can-style LED light fixtures and two (2) new round LED lights; painting of bathrooms; demolish existing employee kitchen area; plumbing to install new stop valves and a new sink; install a new light switch; furnish and install new cabinets; install new porcelain floor tile; demolish existing ground floor foyer and office areas; furnish and install eight (8) new flat-style LED light fixture, new light switches, new electrical outlets, and install new insulation and drywall in walls in ceiling in ground floor foyer and office areas; install new floor tile and painting of ground floor foyer and office; demolish existing second floor office area and stairway; furnish and install eight (8) new flat-style LED light fixture, new light switches, new electrical outlets, and install new insulation and drywall in walls in ceiling in second floor office area; painting of second floor office; install new oak hardwood flooring on at second floor and stairs; permit expenses",100000,160570,2,1,POINT (-87.672281995 41.991133989)
1036 N. Kilbourn LLC/Elston Ave Food Company dba The Goddess,Debra Sharpe,1036,,N,Kilbourn,Ave,37,Humboldt Park,Northwest Industrial Corridor,06/18/2020,07/07/2021,Warehousing,"electrical upgrades including new panels, circuit breakers, and LED strip lighting",29150,58300,10,30,POINT (-87.73890396 41.899982007)
"Alchemia Art of Hair, Inc.",Edward J. Steinbeigle,5009,,N,Sheridan,Rd,48,Uptown,Hollywood/Sheridan,08/04/2015,02/29/2016,Commercial,"mechanical HVAC work (new rooftop condenser unit, ducts, fans, and exhausts); electrical work including wiring, light fixtures, and installing receptacles, switches and outlets; plumbing work including installing new water piping and fixtures (shampoo bowl fixtures not included); carpentry and framing work, insulation, drywall and drop ceilings; flooring work including leveling of concrete floors and finishing with a resin seal system; painting and finishing work",25000,50270,5,0,POINT (-87.654535997 41.973667989)
Tula Yoga Studio,Maile Wicklander,2827,,W,Belden,Ave,1,Logan Square,Fullerton/Milwaukee,03/19/2016,03/23/2017,Commercial,"framing for a new bathroom, fireproofing, rough plumbing including underground plumbing, and electrical work including electrical rough-in.",7551.61,14068.81,2,4,POINT (-87.698445016 41.923123017)
Burke's Public House,Kevin Costello,5401,5403,N,Broadway,Ave,48,Edgewater,Bryn Mawr Broadway,06/15/2010,12/05/2011,Commercial,"Carpentry, electrical, plumbing, HVAC, refrigeration, masonry; address range is 5401-5403 N Broadway Ave.",59504.99,119009.97,,,POINT (-87.659663962 41.98013798)
CMJ Medical Enterprises,Claudia Johnson,8507,,S,Stony Island,Ave,8,Avalon Park,Stony Island/Burnside,07/27/2010,03/29/2011,Commercial,tuckpointing/masonry,5625,7500,,,POINT (-87.584975002 41.740282989)
Greenlawn Landscaping,Marla Cohen,3915,,W,Devon,Ave,39,Forest Glen,Peterson/Pulaski,10/04/2012,09/05/2013,Commercial,"Installation of new window, downpayment for fence replacement, Installation of welded wire fencing,",6523.5,8698,2,12,POINT (-87.727159992 41.99701402)
Congress Theatre,Erinero Carranza,2135,,N,Milwaukee,Ave,1,Logan Square,Fullerton/Milwaukee,,04/07/2004,Commercial,Heating System electrical improvements on stage,50000,88484,,,POINT (-87.692325976 41.920576008)
Great Expectations Learning Academy,Chetranda Gray,1146,,S,California,Ave,28,North Lawndale,Midwest,01/31/2017,10/06/2017,Commercial,"masonry repairs along the east and north elevations; installation of a new storefront system along the east elevation with new bronze aluminum storefront framing and insulated glass windows; installation of four (4) new fire-rated exist doors including steel framing; and installation of ten (10) new exterior gooseneck light fixtures, interior ceiling lights and ceiling fans",44055,58740,3,10,POINT (-87.696121972 41.866818001)
Oz Corporation dba Staropolska Restaurant,Andy Orzel,3028,3030,N,Milwaukee,Ave,30,Avondale,Fullerton/Milwaukee,09/27/2016,04/28/2017,Commercial,"demolition; remove and replace interior concrete flooring at rear ""smokehouse"" area and install new rebar mesh below new concrete; furnish and install stainless steel wall paneling at existing rear interior walls and walk-in cooler/freezer; remove and replace drywall ceilings and doors to the cooler and freezer rooms; remove and replace cooler and freezer refrigeration compressors; remove and replace existing switches, outlets, light fixtures, exit signs, and emergency lights; remove and replace rear steel door and window at rear.  Address range is 3028-30 N. Milwaukee Ave.",100000,155000,0,6,POINT (-87.719417041 41.936078003)
