PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
"Diana's Daycare Center, LLC",Diana Anderson,5961,,N,Clark,St,48,Edgewater,Clark/Ridge,04/17/2013,07/17/2014,Commercial,"build-out for child care functionality: HVAC, electrical, plumbing, framing, GC services, balance of the  build-out of 5961 N. Clark for daycare operations: demolition, framing, plumbing, flooring, electrical, HVAC, drywall, insulation, ceiling work, plumbing fixtures, electrical fixtures, fire alarm system, interior doors, window openings, finish carpentry, cabinets, tile work, painting, and a new back doo",50000,144900,4,2,POINT (-87.669811219 41.990213949)
Universal Scrap Metals Inc,Philip Zeid,312,,N,Western,Ave,27,West Town,Kinzie Industrial Corridor,,07/16/2009,Industrial,"HVAC, sprinkler system overhead doors, walls, tuckpointing, parking lot paving, electrical, lighting, electric fence, roof, lanscaping",150000,610600,,,POINT (-87.68666695 41.887087293)
Clark St Dining Concern Inc,Jeffrey Baker Shane,5721,,N,Clark,St,48,Edgewater,Clark/Ridge,07/31/2010,06/02/2011,Commercial,complete rehab,72370.73,144741.45,,23,POINT (-87.669105003 41.986142021)
"Ops 3, LLC",Lee Facklis,2226,,W,Walnut,St,27,Near West Side,Kinzie Industrial Corridor,12/05/2019,10/09/2020,General Commercial,"Masonry improvements including brick replacement below capstone on North, South, East and West elevations, install color sealant to entire building exterior, grind out windowsill joints and caulk, remove loose concrete coating at foundation wall.",38936,77872,0,35,POINT (-87.682323012 41.886224999)
Circle Creations DBA Lion Circle,Jo-Ann Carollo Miller,4600,,W,72nd,St,18,West Lawn,Greater Southwest Industrial Corridor (West),01/24/2012,11/14/2012,Industrial,,89122,182850,0,25,POINT (-87.736543029 41.762736012)
Northwest Paper Co Joe,Carol Mihovilvich,4519,,W,Patterson,Ave,38,Irving Park,Portage Park,,07/06/2005,Commercial,Roof,31373.8,62747.6,,,POINT (-87.740530971 41.946857004)
"Jefferson Park Grill, Inc.",Ahmet Ahmeti,5364,,W,Gale,St,45,Jefferson Park,Jefferson Park,03/05/2019,07/15/2019,Commercial,"remove existing duct work; furnish and install a new supply and exhaust rooftop fans and associated new duct work, natural gas connections, and electrical wiring",17250,23000,2,6,POINT (-87.763560299 41.970483869)
"Sabor A Mi, Inc. dba Nana",Maria Solis,3267,,S,Halsted,St,11,Bridgeport,35th/Halsted,,08/04/2009,Commercial,"HVAC, plumbing,electric, insulation, masonary, carpentry, etc., HVAC, plumbing,electric, insulation, masonary, carpentry, etc.",103598.59,207658.42,,,POINT (-87.645842036 41.834549015)
Petra Manufacturing Co.,Norman Hoffberg,6600,,W,Armitage,Ave,29,Austin,Galewood/Armitage,04/23/2013,02/14/2014,Industrial,retrofit lighting,14364,28728,2,40,POINT (-87.789627969 41.916055019)
"STS Ventures, Inc. dba The Wooden Spoon",Sean Sheridan,5047,,N,Clark,St,47,Uptown,Clark/Montrose,02/17/2015,10/28/2015,Commercial,"furnish and replace two (2) fixed windows and two (2) new awning windows at existing openings at entrance; replace wood boards and mouldings on façade; repair tile and concrete at entry; roofing repairs; installation of new kitchen lights (labor only, materials expenses not included)",11241,14988,0,7,POINT (-87.667893985 41.973830011)
Mastercraft Metal Spinning,Peter Hurtado,4141,,W,Kinzie,St,28,West Garfield Park,Northwest Industrial Corridor,,01/14/2005,Industrial,"Roof, Gutter, Front door",13740,27480,,,POINT (-87.72987204 41.88745299)
Roberts Touch B and Y Salon,Robert Cathey,1606,,S,Pulaski,Rd,24,North Lawndale,Midwest,07/12/2012,10/23/2014,Commercial,"new drywall, ceiling lighting, fans, electrical, furnace, siding and insulation, roofing, decking, doors, windows, drywall, and plumbing, drywall, electrical, plumbing, flooring, ceiling, bathroom, lighting and painting.",48135,64180,0,2,POINT (-87.72516996 41.858564006)
La Villa Restaurant Inc,Christina Petrancosta,3632,3638,N,Pulaski,Rd,45,Irving Park,Avondale,05/10/2012,01/09/2013,Commercial,Address range is 3632-38 N. Pulaski Rd.,80367.75,107157,5,45,POINT (-87.727825012 41.947741002)
"Ethiopian Diamond Restaurant, Inc.",Almaz Yigizaw,6116,6120,N,Broadway,St,48,Edgewater,Hollywood/Sheridan,07/03/2012,09/04/2013,Commercial,"demolition, carpentry, tile work, painting, drop ceiling, masonry opening, wainscoting, drywall, plumbing, and GC services, balance of renovations: exterior wall tiles for façade, demolition of steel sign pylon and associated masonry repairs, general demolition, build-out new entryway/reception area, level cement floors and install new underlayments and floor tiles, wainscoting, remove carpeting, build-out new walls, build-out new storage area, build-out new busser station, bathroom renovations, finish carpentry, painting, new lighting, create new opening between commercial spaces for expanded dining room, framing and drywall for walls for expanded dining room, doors, electrical, exit signage, plumbing (bathrooms, sinks, floor drains, fixtures), and HVAC, electrical, architectural and permit expenses.  Address range is 6116-20 N. Broadway St.",143550,194735.25,3,11,POINT (-87.660771966 41.992917993)
David Kwang Lee,David Kwang Lee,3243,,W,Lawrence,Ave,33,Albany Park,Lawrence/Kedzie,03/09/2010,09/30/2010,Landlord,"HVAC, windows, floor, walls, carpentry, electrical, tuckpointing, HVAC, windows, floor, walls, carpentry, electrical, tuckpointing, HVAC, windows, floor, walls, carpentry, electrical, tuckpointing",150000,319800,,,POINT (-87.710209017 41.968179015)
Bubbly Dynamics LLC,John Edel,1400,,W,46th,St,15,New City,47th/Ashland,06/07/2011,09/07/2011,Commercial,"masonry work (lintel replacement, tuckpointing, exterior repairing and replacing of damaged brick),",24407.02,32542.69,1,4,POINT (-87.660612039 41.810747009)
ABC Business Forms,Steven Strauss,5654,,N,Elston,Ave,45,Jefferson Park,Elston/Armstrong,04/02/2013,04/04/2014,Industrial,"roofing repairs and installation of metal cladding around exterior windows, a lighting retrofit for the office and warehouse, improving the facility’s energy efficiency, increasing the lifespan of the bulbs and fixtures, and improving brightness in the workplace",22657.56,46311.5,2,13,POINT (-87.766718971 41.983900993)
Wanland and Associates,Richard Wanland,4140,,W,Peterson,Ave,39,Forest Glen,Peterson/Pulaski,01/23/2012,08/20/2012,Commercial,,35126.54,46835.38,2,2,POINT (-87.733514385 41.990138375)
Bonsoiree Restaurant,Shin A Thompson,2728,,W,Armitage,Ave,1,Logan Square,Fullerton/Milwaukee,,10/25/2006,Commercial,"Storefront renovations, new windows, doors, awning",6317.5,12810,,,POINT (-87.695989035 41.917687981)
5116 Irving LLC,Nikola Lukic,5116,,W,Irving Park,Rd,45,Portage Park,Portage Park,10/24/2022,03/06/2023,General Commercial,"roofing work, tuck-pointing, HVAC improvements, and plumbing work, remove and replace existing roof with new flat commercial roof, tuckpointing- cut and clean mortar cracks and replace damaged bricks and refill with new mortar, HVAC install new roof top unit with associated duct work and connections, electrical upgrades – update system new amp, two (2) meter boxes, 100 amp breaker panel, LED lighting and outlets, remove bathroom partitions and walls, new walls for office, closet and bathroom, new flooring, repair stairs.",150000,167001,6,0,POINT (-87.755450005 41.953631007)
"UA Fitness, LLC dba Urban Athlete",Anthony Canzolino,4710,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,06/09/2015,10/05/2015,Commercial,"a complete rehabilitation for new fitness center including installation of a new storefront system including framing, glass windows and doors; exterior and interior masonry repairs for storefront opening and sealing of interior brick; concrete work to level floors; new steel and metal framing for interior layout; carpentry and millwork, drywall throughout and installation of acoustical ceiling tiles above locker rooms; installation of fire alarm and sprinkler systems; mechanical HVAC improvements including new ductwork, registers, and exhausts; rough and finish electrical work (light fixtures not included); painting and finishing work",50000,354869.55,7,7,POINT (-87.675099991 41.967509008)
Tom Tov Kosher Bakery,Diana Ackerman,2944,,W,Devon,Ave,50,West Ridge,Devon/Western,,02/05/2010,Commercial,,6263.32,25053.28,,,POINT (-87.703933989 41.997732013)
Pasteur of Chicago,Kim Nguyen,5523,,N,Broadway,St,48,Edgewater,Bryn Mawr Broadway,09/22/2011,03/16/2012,Commercial,Complete rehab,150000,213116,20,20,POINT (-87.659693969 41.982582981)
"Airmarine, Inc.",Kathleen Gravesen,5638,,S,Central,Ave,23,Garfield Ridge,Archer/Central,05/10/2016,07/26/2017,Commercial,"roofing repairs, apply coating materials around all roof penetrations, furnish and install new drain insert in the existing roof drain, flash in new drain insert into existing EPDM system, replace steel lintel and a thermal insulated overhead door. , façade renovations including demolition of face brick, remove and reset coping, replace corner stones and rebuild east elevation with flashing and control joints, furnish and install aluminum storefront system including five (5) new commercial grade windows, infill three vent openings and repair wall that was previously an entrance, install steel and flashing above remaining windows; and replace four (4) steel lintels over windows",67852.95,91742,2,5,POINT (-87.762536988 41.78973999)
Jewelry Design Ltd,Susan Rosengard,2210,,S,Halsted,St,25,Lower West Side,Pilsen Industrial Corridor,,10/24/2008,Commercial,"Façade, Tuckpointing, Flooring",46530,94289,,,POINT (-87.64668601 41.852229006)
"Yup Chi Yuen, Inc. dba Friendship Chinese Restaurant",Alan Yuen,2830,,N,Milwaukee,Ave,35,Avondale,Fullerton/Milwaukee,,12/23/2004,Commercial,"HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment, HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment",50000,100000,,,POINT (-87.71353504 41.932485016)
Cedars Mediterranean Kitchen LLC,Sudki Abdullah,1206,,E,53rd,St,4,Hyde Park,53rd Street,,10/29/2012,Commercial,,89945.63,123805.8,2,23,POINT (-87.596234999 41.799965995)
The 4621 Club Ltd dba Max's Place,Micah Hilgendorf,4621,,N,Clark,St,46,UPTOWN,Clark/Montrose,06/16/2023,12/20/2023,General Commercial,"exterior renovations including demolition of west front façade; masonry and shoring work to rebuild parapet wall (6 course) from top cornice, reset limestone caps; rebuild front wall (replacing old yellow brick) and new brick as needed; install new beam",150000,182207.7,3,7,POINT (-87.666642986 41.965938994)
Singer Factory Distributor,Michael Dimeo,4914,,W,Irving Park,Rd,45,Portage Park,Portage Park,05/08/2012,05/17/2013,Commercial,"excavation and masonry, storefront glazing, awning, electrical to include replacing fixtures and exterior lighting, HVAC rooftop unit, carpeting, and painting",61426.86,81902.48,2,5,POINT (-87.750463024 41.953688004)
Yeimi's Unisex Beauty Salon,Yolanda Cuevas,1823,,W,Irving Park,Rd,47,North Center,Western Avenue (South),04/05/2011,04/02/2012,Commercial,"plumbing, electrical, framing, flooring,, doors, floor, roof, sign removal, ventilation, plumbing, electricity, bathroom, walls, ,",57246,76328,3,,POINT (-87.675342982 41.953995997)
Adelaida's Beauty Salon,Adelaida Romero,10232,,S,Ewing,Ave,10,East Side,Ewing Avenue,01/12/2012,06/08/2012,Commercial,,1800,2400,,,POINT (-87.535555972 41.709072009)
"Las Tablas on Irving, LLC",Soraya Suarez-Campos,4918,,W,Irving Park,Rd,45,Portage Park,Portage Park,,12/13/2007,Commercial,"Flooring, Windows, Electrical, Kitchen repair",19968.5,39937,,,POINT (-87.750683971 41.953685992)
"El Cubano Wholesale Meats, Inc. & Old Fashioned Meats, Co.",Roberto Casimiro,4630,,W,53rd,St,23,Garfield Ridge,Midway Industrial Corridor,11/16/2016,03/07/2018,Industrial,"roofing repairs/replacement on two industrial buildings at three sections. The main building’s roofing work includes decking repairs as needed, installation of mechanically fastened insulation system to the entire roof, apply membrane over insulation, heat weld all flashings, walls and roof penetrations as needed, fabricate and install new termination bars, new gutter apron, new gravel stop to the pitched roof, and one (1) new scupper/drain box; , roofing repairs/replacement on two industrial buildings at three sections. The main building’s roofing work includes decking repairs as needed, installation of mechanically fastened insulation system to the entire roof, apply membrane over insulation, heat weld all flashings, walls and roof penetrations as needed, fabricate and install new termination bars, new gutter apron, new gravel stop to the pitched roof, and one (1) new scupper/drain box;",150000,394569,5,15,POINT (-87.738747973 41.797367982)
River North Storage,William Stancel,1722,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,,12/05/2008,Commercial,"masonry repair, roofing repair",2350,4700,,,POINT (-87.670541996 41.88804098)
"Katz & Miller LLP, now known as Katz, LLC",Harold Katz,2723,,W,Touhy,Ave,50,West Ridge,Touhy/Western,07/03/2012,01/14/2014,Commercial,"complete build-out including building systems (HVAC, plumbing, electrical), framing, drywall, flooring, insulation, painting, drop ceiling, bathrooms, and kitchen build-out, complete build-out including building systems (HVAC, plumbing, electrical), framing, drywall, flooring, insulation, painting, drop ceiling, bathrooms, and kitchen build-out",150000,359692,4,6,POINT (-87.698262961 42.011855017)
4545 W Armitage Inc dba A&D Candy,Saleh Musa,4545,,W,Armitage,Ave,36,Hermosa,Northwest Industrial Corridor,07/16/2012,04/22/2013,Industrial,,6043.45,12086.9,1,1,POINT (-87.74052502 41.916731983)
Mohammad Iqbal - Mama's Fried Chicken,Mohammad U Iqbal,3857,,W,Roosevelt,Rd,24,NORTH LAWNDALE,Midwest,07/01/2021,08/19/2023,Commercial,"a roofing replacement; masonry work including tuckpointing, HVAC improvements, plumbing work for restrooms and utility room, electrical work, carpentry work, drywall, drop tile ceiling, painting and flooring.",100000,200000,4,0,POINT (-87.72236898 41.865922982)
"Second City Meadery, Inc.",Peter Schultz,4465,,N,Elston,Ave,39,Albany Park,Lawrence/Pulaski,09/17/2019,11/14/2022,Retail,"interior buildout of production area including framing, drywall, painting, and flooring; furnish and install mechanical improvements (HV AC, plumbing, and electrical), buildout of two (2) restroom; furnish and install windows and doors; architectural and permit fees.",26606.57,82810,8,0,POINT (-87.73115598 41.962276982)
Hemina Patel State Farm Insurance,Hemina Patel,3837,,N,Western,Ave,47,North Center,Western Avenue (South),03/06/2014,11/14/2014,Commercial,"Security Cameras
Electrical 
Chair Lift 
Solar Panels",17196.3,24310,2,4,POINT (-87.688107028 41.95149798)
Estee Bedding Co,Tim Enright,945,,E,93rd,St,8,Burnside,Stony Island/Burnside,02/09/2010,06/30/2010,Industrial,Replacing 11 windows,4462.5,8925,,,POINT (-87.600262001 41.724785982)
"USMe, LLC / Western Fulton Holding Company, LLC",Barry Riback,321,353,N,Artesian,Ave,27,Near West Side,Kinzie Industrial Corridor,06/11/2014,04/24/2015,Industrial,"tear off of top roof layer, mechanically fasten new insulation system, apply a 60 mil TPO roofing membrane with new flashings, remove and replace twenty-six (26) skylights, remove fourteen (14) defunct exhaust fans and replace with fourteen (14) new skylights within existing curbs, remove and cap obsolete rooftop equipment and protrusions.  Address range is 321-53 N. Artesian Ave.",125000,250000,7,9,POINT (-87.687478972 41.887338996)
Myong Yul Kim,Myong Yul Kim,3544,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,08/21/2006,Landlord,"Roof, Basement, Windows",44980,122800,,,POINT (-87.717654997 41.968611019)
"La Fontanella Restaurant, Inc. dba Bacchanalia Restaurant",Paula Pieri Bogolin,2413,,S,Oakley,Ave,25,Lower West Side,Pilsen Industrial Corridor,04/02/2019,01/21/2020,Mixed-Use: Retail and Residential,"concrete repairs including the installation of a new concrete landing and stairwell located in the rear leading to the commercial space; masonry repairs along the northeast wall including removal and replacement of existing damaged bricks with new bricks, and tuck pointing as needed; stairs removed and replaced, floor in dining groom, walls in dining room from water damage, floor in kitchen replaced, garage roof replaced.",63375,84500,8,12,POINT (-87.682827016 41.847997989)
Reservoir Tavern & Grill,Samuel Banks,844,,W,Montrose,Ave,46,Uptown,Wilson Yard,02/14/2011,09/07/2012,Commercial,"Complete restaurant renovation,",150000,300533.6,17,,POINT (-87.651762007 41.962081013)
John Taylor Wallace,John Taylor Wallace,3641,,S,Morgan,St,11,Bridgeport,35th/Halsted,08/16/2016,09/12/2017,Commercial,"masonry repairs including tuckpointing of north and west elevations, reset of common brick at northeast corner, shoring of west elevation, demolition of commercial glass block windows and replacement with new steel lintels and window openings, repairs to brick work and limestone sills, patching and cleaning; installation of new storefront system (and removal of old glass block windows) including new frames, glass windows, and entry door; repairs to foundation of building including removal of damaged limestone and concrete, shoring work and installation of new concrete piers and walls, installation of an epoxy sealant, and a drainage relief system; rough electrical work including installation of new electrical box and service, new conduit piping, outlets, and lights; leveling of the first floor commercial area; installation of insulation and drywall around first floor commercial area; painting and finishing",97644.23,131252.39,2,0,POINT (-87.650656015 41.827710011)
J. K. Kabab House,Wahid Hasan,6412,,N,Rockwell,St,50,West Ridge,Devon/Western,,02/05/2010,Commercial,,15500,31000,,,POINT (-87.694958983 41.997962013)
Love Dental Incorporated,Brenda Taylor,11139,,S,Halsted,St,34,Roseland,Retail Thrive Zone - West Pullman,10/10/2017,12/19/2018,Commercial,"furnish and install new modified bitumen membrane roofing system; remove exterior soffit lights; furnish and install new LED lighting, remove two (2) 100 amp electrical service panels and replace with 400 amp service and two (2) 200 amp panels",24562.5,32750,0,8,POINT (-87.641962975 41.691127988)
Imtiyaz Patel,Imtiyaz Patel,3554,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,08/24/2005,Landlord,"Awning, Windows",7084.59,25000,,,POINT (-87.718038972 41.968610013)
DJL,Dale Lesko,5051,,W,Belmont,Ave,31,Belmont Cragin,Belmont/Cicero,05/24/2016,04/14/2017,Commercial,"new storefront framing, glass and door.",10951.5,14602,1,1,POINT (-87.753773959 41.938561016)
POMA LLC,Terry Podgorski,2834,,W,Roosevelt,Rd,28,North Lawndale,Midwest,,08/21/2006,Landlord,complete renovations,50000,100000,,,POINT (-87.697344975 41.866806015)
Metropolis Coffee Co LLC,Anthony Dreyfuss,5545,,N,Clark,St,48,Edgewater,Clark/Ridge,09/24/2011,01/12/2012,Industrial,"Roasting Syatem, Electrical, ventilation, plumbing, carpentry, rigging",44060.2,88120.4,,,POINT (-87.668267986 41.982951994)
Penthouse Hairstyling,Joseph Insolia,6029,,W,Irving Park,Rd,38,Dunning,West Irving Park,05/01/2013,05/12/2014,Commercial,"storefront, framing, drywall, flooring, plumbing, electrical, HVAC. , concrete slab, masonry, a new storefront, door, and windows. The interior renovations include framing, drywall, electrical, plumbing, new baths, flooring, ceiling, doors, HVAC, gas lines, and hot water heater.",100000,134791,7,5,POINT (-87.777950972 41.952839001)
Laystrom Manufacturing Co,Robert Laystrom,3900,,W,Palmer,St,30,Logan Square,Pulaski Corridor,,03/19/2010,Industrial,"windows, windows, roof, deck,. Drains, and walls",36133,72267,,,POINT (-87.725045992 41.921125987)
"Mr Frog Car Wash, Inc.",Telmo Vasquez,3462,,N,Pulaski,Rd,30,Irving Park,Avondale,08/16/2016,04/04/2017,Commercial,"reconfigure doorways to accommodate updated ingress/egress flow for car wash functionality (north elevation door to become storefront entrance and south elevation doorway to be made inactive); remove and replace window lintel; furnish and install a new steel door with fire-rated glass panel and two (2) new steel fixed window openings; construct a partition wall between office and car wash areas; electrical improvements (furnish and install electrical wiring and service panel upgrade for office and waiting area lighting and install light fixtures and exit signs (fixtures expenses not included) in office, waiting area, and washrooms; install power to exhaust fans, HVAC items; and make-up air unit; install new electrical outlets and light switches); plumbing improvements (rough in waste, vent, and supply piping for bath fixtures, sinks, and hot water tank); furnish and install new HVAC units and associated ductwork and controls; remove and replace roofing system with a new modified bitumen membrane roofing system (demolition; replace structural decking as needed; furnish and install new insulation, base sheet, roofing membrane, flashings, gutters, and aluminum coating)",100000,152657,10,0,POINT (-87.727682017 41.944599004)
"Charter Steel Trading Co., Inc.",Gary Birnbaum,1600,,S,Kostner,Ave,24,North Lawndale,Roosevelt/Cicero,08/28/2013,04/15/2014,Industrial,"iron fencing, electrical upgrades, furnish and installation of three macroair fans, and concrete work",94881.5,189763,0,24,POINT (-87.735262023 41.857799996)
Turn Back the Hands of Time Antiques,James Bowers,5940,5942,W,Chicago,Ave,29,Austin,Austin Commercial,05/27/2016,01/11/2018,Commercial,"masonry façade renovations including removal of bricks over storefront, at knee wall, and removal of lintels; installation of limestone panels, limestone sills, new lintels, and new brick; parapet wall repairs and tuck-pointing work and sandblasting of interior brick; installation of new storefront system with insulated glass windows and doors and bronze thermal metal framing; installation of 92 sq. yards of underlayment and carpeting; flooring and ceiling tile materials.  Address range is 5940-42 W. Chicago Ave.",58901.8,78535.73,2,0,POINT (-87.773982979 41.894965983)
Lawndale Medical,Dr Raj Kharana,3600,,W,Roosevelt,Rd,24,North Lawndale,Midwest,,04/12/2006,Commercial,"Parking, Landscaping, Fence, gate fabrication &amp; install",46759.35,97083,,,POINT (-87.715654991 41.866538004)
Coco Restaurant,Jose Allende,3755,,N,Sacramento,Blvd,33,Irving Park,Humboldt Park,,04/25/2008,Commercial,"roof, tuckpointing, demolition, new drywall, floor",37028,94500,,,POINT (-87.702749962 41.950100005)
"Uptown Research Institute, LLC",John G. Sonnenberg,1021,,W,Lawrence,Ave,46,Uptown,Lawrence/Broadway,02/14/2017,10/10/2017,Commercial,"interior renovations to five (5) restrooms including the installation of new valves, copper lines and plumbing fixtures; electrical upgrades including new wiring for outlets, switches, exhaust fans, and light fixtures; installation of new tile flooring; repairs to framing as needed to install new drywall; and painting",37413.75,49885,3,6,POINT (-87.655774005 41.968820985)
"Revolution Beer, LLC",Joshua Deth,3340,,N,Kedzie,Ave,35,Avondale,Fullerton/Milwaukee,,04/27/2010,Commercial,"Complete Renovation, Complete Renovation",150000,1441951.5,,,POINT (-87.708491985 41.942156014)
Josephine E. Waters,Josephine E. Waters,2542,2546,E,79th,St,7,South Shore,Avalon Park/South Shore,10/14/2014,01/08/2016,Commercial,"complete renovation for the salon at 2542 E. 79th St.: new storefronts, doors and windows for the adjacent commercial spaces; framing, installation of drywall, installation of mold resistant sheetrock, interior trim for all door casings, baseboards, new door casings for exterior doors and windows;masonry repairs, tuck-pointing, painting; replacement of rubber roofing and decking over commercial spaces; façade repairs including replacement of damaged soffit and fascia; new flooring; installation of a heating and air conditioning system; plumbing including all new rough plumbing cast iron floor drains, sink drains, copper vents, new water supply system, and a new water heater; electrical system including installation of new 400 amp 3 phase electrical distribution and meter panels, and finish electrical fixtures and trimmings.  Address range is 2542-6 E. 79th St.",94712.25,126758,6,2,POINT (-87.561994003 41.751993011)
Northern Greenhouses Inc,Chris Bambulas,1756,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,02/08/2001,Commercial,New Roof,50000,125000,,,POINT (-87.671514967 41.885458013)
Upton's Naturals Co.,Daniel Staackmann,1826,,N,Lorel,Ave,37,Austin,Galewood/Armitage,11/27/2018,10/29/2019,Manufacturing,"Interior and exterior demolition; furnish and install a new steel wall and exterior paneling at disused entry; furnish and install a new steel wall, drywall, and FRP at north room area; frame out and drywall new walls at office, dock, and cooler areas; furnish and install new interior and exterior doors; furnish and install FRP in west-central room; furnish and install an industrial-grade walk-in cooler system (walls, ceilings, doors, lights, ventilation and refrigeration, electrical); permanent security system fixtures and wiring; and various soft costs.",142901.79,296028.57,15,50,POINT (-87.759818988 41.913924004)
"Elgin Sweeping Services, Inc.",Christopher Cacciatore,1015,,W,Pershing,Rd,11,New City,Stockyards Annex,07/03/2014,03/25/2015,Industrial,paving,119808.15,265682.5,3,42,POINT (-87.652101977 41.822853997)
"T Young Investments, LLC - The Connection Bronzeville, LLC",Terrence Young,4321,,S,Cottage Grove,Ave,4,Kenwood,RTZ - Bronzeville (43rd),01/31/2020,01/04/2021,General Commercial,furnish and install new flashing on entire roof; tuckpoint entire building.,39060,52080,0,4,POINT (-87.606253972 41.816153001)
"Sim Ellen Investments, Inc.",Michele D. Simon,8334,8338,S,Stony Island,Ave,8,Avalon Park,Stony Island/Burnside,07/21/2015,06/07/2016,Commercial,"new storefront, cut and replace stones, tuck-point stones, install new lintel, sub-floor, tile flooring, repair ceiling.   Address range is 8334-38 S. Stony Island Ave.",17737.5,23650,1,1,POINT (-87.58607102 41.743145996)
Ivory Cleaners,Song Kyun Kim,3857,,W,Roosevelt,Rd,24,North Lawndale,Midwest,,08/22/2008,Commercial,"Electrical, tuckpointing, shutters, sign, ceiling",6440,12880,,,POINT (-87.72236898 41.865922982)
"1742 W. 99th St., LLC",Edward Bonk,1742,1744,W,99th,St,19,Beverly,Western/Rock Island,05/07/2012,03/28/2013,Commercial,"façade renovation with replacement of all shingles along canopies, roofing, repairs to parapet wall, and installation of steel gutters. Address range is 1742-44 W 99th St.",57854.71,78347.4,10,2,POINT (-87.667029979 41.714258982)
"Sankofa Cultural Arts & Business Center, Inc.",Stacia Crawford,5820,,W,Chicago,Ave,29,Austin,Austin Commercial,11/25/2017,12/10/2018,Commercial,"tear off existing roof, equipment, and skylight units; install new roof joists in select locations, new plywood sheathing over new joists, new roof drains, new insulation, new flashings, new modified bitumen roof membrane, new aluminum roof vents, new structural support for rooftop AC unit, and all finishing work to seal",30937.5,41250,0,4,POINT (-87.771217035 41.895041001)
Brad's Sales Company,Peggy J McDurmon,6135,,S,Nottingham,Ave,23,Clearing,Harlem Industrial Corridor,07/14/2010,01/06/2011,Industrial,"parking lot paving, iron fencing, installtion of catch basins, planting trees and bushes",73600,147200,,,POINT (-87.798057984 41.779729986)
Annapurna Fast Food,Pravin Patel,2608,,W,Devon,Ave,50,West Ridge,Devon/Western,02/22/2010,03/04/2011,Commercial,Complete Renovation,123300,350000,,,POINT (-87.69525302 41.997899987)
Seward & Szczygiel P C,Ed & Renata Seward,4754,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,03/17/2009,Commercial,"Roofing, HVAC, Façade, Interior, bathrooms",136000,309500,,,POINT (-87.760190977 41.966813017)
Production Craft Inc,Alan Brouilette,1437,,W,Grand,Ave,27,West Town,Kinzie Industrial Corridor,,04/13/2005,Commercial,Tuckpointing / Plumbing / Sidewalk / Fencing// Possible Purchase of New Building,21961.58,43923.16,,,POINT (-87.663713008 41.890792005)
CoClubChicago LLC,Mike Healy,3118,38,N,Rockwell,St,33,Avondale,Addison Corridor (South),06/26/2019,01/04/2021,General Industrial,"Interior and exterior demolition to prepare for the complete rehab of the building; electrical work; plumbing work; and architectural expenses covering the gut rehab., demolition; excavation; concrete; masonry; tuck-pointing; steel work; rough framing and carpentry, finishing, painting; thermal and moisture protection; doors and windows; HVAC; plumbing including fixtures; and electrical work.",150000,664915.9,50,0,POINT (-87.693231976 41.938403017)
La Luce,Anna Moretti,1393,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,09/06/2007,Commercial,purchase adjacent property for parking,50000,250000,,,POINT (-87.662292024 41.885142015)
Precision Plating Company,Lynda Olander,4123,,W,Peterson,Ave,39,North Park,Peterson/Pulaski,04/08/2010,01/11/2011,Commercial,"New Flooring. New Lighting New Doors Support Beams Repair Roof Window Covers Masonary, Tuck Pointing and Foundation Repair Building on Rogers",49536,99072,,,POINT (-87.732789026 41.98945698)
"Del-Kar Pharmacy, Inc.",Edwin Muldrow,3714,3726,W,16th,St,24,North Lawndale,Midwest,02/05/2013,12/18/2013,Commercial,"masonry and tuckpointing work, concrete work, windows and doors, plumbing, electrical, carpentry and framing.  Address range is 3714-26 W. 16th St.",89250,119000,2,3,POINT (-87.718517998 41.859114991)
Chicago Game and Gourmet,James Florek,700,,W,Root,St,11,New City,Stockyards Annex,09/25/2011,02/08/2012,Industrial,,83638,192228,5,7,POINT (-87.643697023 41.819212982)
